,Outlet Code,F_2022,M_2022,R_2022,F_2023,M_2023,R_2023,F_2024,M_2024,R_2024,F,M,R,F_Label,M_Label,R_Label
1525,76024574,17.0,11085.75,908.0,12.0,14620.759999999998,539.0,10.0,3376.37,179.0,-4.5,-9476.884999999998,-544.5,1,1,1
1526,76024608,5.0,7211.04,894.0,3.0,3272.5,485.0,10.0,1705.37,130.0,6.0,-3536.4000000000005,-559.5,0,1,1
1527,76024623,18.0,19615.260000000002,906.0,17.0,34696.100000000006,534.0,19.0,10997.46,179.0,1.5,-16158.220000000005,-541.0,0,1,1
1528,76024628,3.0,327.7,859.0,2.0,82.80000000000001,247.0,2.0,678.74,94.0,-0.5,473.49,-459.0,1,0,1
1529,76024678,18.0,12598.5,909.0,8.0,6432.87,539.0,14.0,692.9,167.0,1.0,-8822.785,-557.0,0,1,1
1530,76024702,22.0,27539.16,908.0,15.0,15134.15,541.0,12.0,2781.7200000000003,168.0,-6.5,-18554.934999999998,-556.5,1,1,1
1531,76024712,5.0,546.5,872.0,2.0,55.2,494.0,1.0,27.6,161.0,-2.5,-273.25,-522.0,1,1,1
1532,76024761,12.0,3068.7,877.0,5.0,3331.12,520.0,1.0,29.6,32.0,-7.5,-3170.31,-666.5,1,1,1
1533,76024809,24.0,14692.18,905.0,16.0,11135.369999999999,529.0,9.0,2144.25,159.0,-11.0,-10769.525,-558.0,1,1,1
1534,76024816,21.0,20135.7,893.0,11.0,11878.92,537.0,11.0,7186.349999999999,117.0,-5.0,-8820.960000000003,-598.0,1,1,1
1535,76024821,4.0,825.5,812.0,7.0,1783.37,535.0,3.0,889.55,137.0,-2.5,-414.885,-536.5,1,1,1
1536,76024902,6.0,1048.8,777.0,4.0,3503.51,462.0,2.0,552.0,107.0,-3.0,-1724.1550000000002,-512.5,1,1,1
1537,76024930,12.0,5721.3,905.0,8.0,4356.06,523.0,2.0,425.66,136.0,-8.0,-4613.02,-578.0,1,1,1
